"KOTA,KECAMATAN,CODE,REG,ESTIMASI REG,OKE,ESTIMASI OKE,YES,ORIGIN"
"BaritoTimur,BenuaLima,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"Tabalong,BintangAra,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"Tampin,Binuang,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"Tampin,Bungur,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"BaritoSelatan,Buntok,BDJ,42000,3 - 5,36000,5 - 7,-,JAKARTA"
"Tampin,CandiLarasSelatan,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"Tampin,CandiLarasUtara,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"Banjarbaru,Cempaka,BDJ,30000,1 - 2,26000,3 - 5,-,JAKARTA"
"BaritoKuala,Cerbon,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"HuluSungaiSelatan,DahaBarat,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"HuluSungaiSelatan,DahaSelatan,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"HuluSungaiSelatan,DahaUtara,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"HuluSungaiUtara,DanauPanggang,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"BaritoSelatan,DusunHilir,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"BaritoSelatan,DusunSelatan,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"BaritoTimur,DusunTengah,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"BaritoTimur,DusunTimur,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"BaritoSelatan,DusunUtara,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"Banjar,Gambut,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"BaritoSelatan,GunungBintangAwai,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"BaritoUtara,GunungPurei,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"BaritoUtara,GunungTimang,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"Balangan,Halong,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"KotaBaru,Hampang,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"HuluSungaiTengah,Hantakan,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"Tabalong,Haruai,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"HuluSungaiTengah,Haruyan,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"Tampin,Hatungun,BDJ,42000,3 - 5,36000,5 - 7,-,JAKARTA"
"Tabalong,Jaro,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"BaritoSelatan,Jenamas,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"TanahLaut,Jorong,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"Balangan,Juai,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
